listing_id,brand,model,year,city,fuel_type,transmission,owner_number,km_driven,health_score,listing_price,is_promoted,conversion_target,ml_score,promotion_level
LID00069,Tata,Nexon,2021,Mumbai,Petrol,Automatic,Second,51285,0.654,439734,1,1,0.9318,Standard
LID00070,Hyundai,Verna,2018,Delhi,Petrol,Manual,Third,125202,0.357,416566,1,0,0.5319,Standard
LID00071,Mahindra,XUV700,2022,Chennai,Petrol,Automatic,Second,20970,0.828,1414142,1,0,0.7783,Plus
LID00072,Maruti,Baleno,2017,Chennai,Petrol,Manual,First,100035,0.518,222677,1,1,0.8182,Standard
LID00073,Hyundai,Verna,2021,Hyderabad,CNG,Manual,Second,31748,0.71,449876,1,1,0.9807,Standard
LID00074,Honda,WR-V,2014,Delhi,Petrol,Automatic,First,31009,0.448,213964,1,1,0.7146,Standard
LID00075,Mahindra,Scorpio,2019,Pune,Petrol,Automatic,Second,47115,0.565,737978,0,0,0.5283,Plus
LID00076,Tata,Tigor,2016,Mumbai,CNG,Manual,Second,34160,0.57,278296,0,0,0.4601,Standard
LID00077,Toyota,Glanza,2016,Ahmedabad,Electric,Automatic,Second,54276,0.496,443653,0,0,0.486,Standard
LID00078,Tata,Tigor,2013,Delhi,Petrol,Automatic,First,34313,0.521,172885,1,1,0.6852,Standard
LID00079,Mahindra,Thar,2017,Pune,Diesel,Automatic,First,41684,0.684,737937,0,0,0.5615,Standard
LID00080,Maruti,Vitara Brezza,2020,Mumbai,Petrol,Automatic,First,18993,0.803,291179,0,0,0.656,Plus
LID00081,Maruti,WagonR,2013,Chennai,Diesel,Manual,First,54128,0.48,144947,0,0,0.4174,Standard
LID00082,Tata,Tiago,2014,Bengaluru,CNG,Manual,Second,25467,0.428,144445,0,0,0.382,Standard
LID00083,BMW,3 Series,2016,Kolkata,CNG,Manual,First,106105,0.446,873390,0,1,0.6847,Plus
LID00084,Hyundai,Verna,2019,Kolkata,Hybrid,Manual,Second,75422,0.648,477959,1,0,0.7178,Standard
LID00085,Tata,Tigor,2019,Kolkata,Diesel,Manual,First,41718,0.695,259102,1,0,0.7078,Standard
LID00086,Hyundai,Verna,2020,Chennai,CNG,Automatic,Third,56962,0.489,286514,0,0,0.5252,Standard
LID00087,Tata,Tiago,2021,Hyderabad,Diesel,Manual,First,23365,0.778,606609,0,0,0.6513,Plus
LID00088,Kia,Sonet,2010,Bengaluru,Petrol,Manual,First,26708,0.304,277832,1,1,0.529,Standard
LID00089,Mahindra,XUV300,2019,Mumbai,Hybrid,Manual,Second,65056,0.513,936153,1,1,0.7277,Plus
LID00090,Tata,Tigor,2020,Bengaluru,Hybrid,Manual,First,41717,0.701,389256,0,0,0.5714,Plus
LID00091,Mercedes,C-Class,2015,Pune,Electric,Manual,First,45756,0.556,3152632,0,1,0.605,Plus
LID00092,Maruti,Baleno,2021,Delhi,Petrol,Automatic,First,112774,0.521,453918,0,1,0.769,Standard
LID00093,Hyundai,Venue,2012,Bengaluru,Diesel,Automatic,First,29816,0.506,132413,1,1,0.7311,Plus
LID00094,Ford,Figo,2015,Bengaluru,Petrol,Manual,Second,52012,0.449,275611,1,0,0.5386,Standard
LID00095,Mercedes,GLE,2019,Ahmedabad,Petrol,Automatic,Second,17748,0.639,3980853,0,1,0.7753,Premium
LID00096,Hyundai,Venue,2019,Kolkata,Diesel,Manual,Third,89595,0.415,267247,0,0,0.4441,Standard
LID00097,Mahindra,Thar,2017,Hyderabad,Diesel,Manual,Second,39332,0.585,926435,0,0,0.5246,Standard
LID00098,Maruti,WagonR,2011,Kolkata,Petrol,Automatic,Second,58963,0.197,100000,0,0,0.2368,Standard
LID00099,Ford,Endeavour,2018,Delhi,Diesel,Automatic,First,35459,0.65,455623,1,1,0.8463,Standard
LID00100,Mahindra,Bolero,2019,Pune,Diesel,Automatic,Second,90898,0.562,774980,0,0,0.5812,Standard
LID00101,Hyundai,Creta,2018,Kolkata,Petrol,Automatic,First,99878,0.573,362326,0,0,0.5372,Plus
LID00102,Tata,Tigor,2014,Chennai,Petrol,Manual,First,53547,0.482,239136,0,0,0.4526,Standard
LID00103,Tata,Safari,2018,Pune,Petrol,Automatic,Second,65906,0.557,393281,0,0,0.5348,Standard
LID00104,Hyundai,i20,2014,Hyderabad,Petrol,Manual,First,36751,0.641,230273,0,0,0.4752,Standard
LID00105,Honda,Amaze,2010,Chennai,Diesel,Manual,Second,40754,0.246,137004,1,0,0.3543,Standard
LID00106,Maruti,Baleno,2020,Delhi,Petrol,Automatic,First,68588,0.757,224756,0,1,0.8802,Plus
LID00107,Honda,Jazz,2011,Delhi,Diesel,Manual,Second,63434,0.284,236227,0,0,0.3014,Standard
LID00108,Hyundai,Venue,2016,Mumbai,Diesel,Manual,Second,47871,0.538,262629,0,0,0.5038,Plus
LID00109,Mercedes,E-Class,2019,Mumbai,Diesel,Manual,Second,90339,0.537,4010762,0,0,0.4738,Plus
LID00110,Mahindra,Bolero,2018,Mumbai,Petrol,Manual,First,102549,0.597,687299,1,0,0.6415,Plus
LID00111,Maruti,Swift,2023,Chennai,Petrol,Manual,First,72008,0.807,613404,1,1,0.955,Plus
LID00112,Hyundai,Creta,2018,Chennai,CNG,Manual,First,18708,0.751,377327,1,0,0.6078,Plus
LID00113,Hyundai,Verna,2010,Delhi,Petrol,Manual,Third,16045,0.213,100000,0,0,0.2243,Standard
LID00114,Tata,Nexon,2023,Delhi,Petrol,Automatic,First,88485,0.772,808772,1,0,0.7398,Plus
LID00115,Maruti,Ciaz,2019,Ahmedabad,Petrol,Manual,Second,19111,0.685,190314,0,0,0.617,Standard
LID00116,Tata,Tigor,2022,Pune,Petrol,Manual,First,39181,0.783,609105,1,1,0.9295,Plus
LID00117,Tata,Tigor,2019,Jaipur,Petrol,Automatic,Second,29611,0.669,240403,0,0,0.5196,Standard
LID00118,Mahindra,XUV700,2022,Hyderabad,Petrol,Manual,First,67920,0.838,961173,1,0,0.7342,Premium
LID00119,Honda,Amaze,2020,Bengaluru,Diesel,Automatic,First,29597,0.78,684702,0,0,0.6031,Plus
LID00120,Hyundai,Venue,2019,Chennai,Diesel,Automatic,Third,67968,0.585,283906,1,0,0.6841,Plus
LID00121,Mahindra,Bolero,2014,Chennai,Electric,Manual,First,24310,0.514,632912,1,0,0.5245,Standard
LID00122,Honda,Jazz,2022,Kolkata,Petrol,Manual,First,30137,0.903,586535,0,1,0.9205,Plus
LID00123,Mahindra,Bolero,2017,Ahmedabad,Petrol,Manual,First,38771,0.609,792519,0,0,0.5666,Standard
LID00124,Tata,Safari,2013,Delhi,Diesel,Manual,First,54465,0.471,124630,0,0,0.4229,Standard
LID00125,Tata,Safari,2012,Hyderabad,Petrol,Manual,Second,164759,0.103,121443,0,0,0.2667,Standard
LID00126,Kia,Seltos,2014,Jaipur,Diesel,Manual,First,73642,0.45,392734,0,0,0.401,Standard
LID00127,Mahindra,XUV300,2021,Hyderabad,Petrol,Manual,Third,36659,0.609,1106968,1,0,0.6448,Plus
LID00128,Tata,Tiago,2015,Jaipur,Diesel,Manual,First,23134,0.666,272583,0,0,0.5231,Standard
LID00129,Maruti,Baleno,2021,Mumbai,Diesel,Manual,Third,68999,0.584,324079,0,1,0.8318,Plus
LID00130,Ford,EcoSport,2019,Delhi,Petrol,Manual,Third,46451,0.599,580546,0,0,0.583,Standard
LID00131,Tata,Tigor,2014,Kolkata,Petrol,Automatic,First,22117,0.613,174016,1,1,0.7154,Standard
LID00132,Maruti,Ciaz,2018,Delhi,CNG,Automatic,Second,18951,0.68,199171,1,1,0.8907,Standard
LID00133,Maruti,Ciaz,2019,Bengaluru,Petrol,Automatic,First,48609,0.684,209573,1,1,0.877,Standard
LID00134,Maruti,Ciaz,2018,Pune,Diesel,Manual,First,36950,0.74,310749,0,0,0.6213,Standard
LID00135,Tata,Harrier,2011,Jaipur,Electric,Manual,First,60544,0.366,160168,0,0,0.4037,Standard
LID00136,Ford,Aspire,2019,Ahmedabad,Petrol,Automatic,First,66892,0.732,367314,0,1,0.8476,Standard
LID00137,Tata,Tiago,2018,Mumbai,Diesel,Manual,Third,134778,0.287,192954,0,0,0.4183,Standard
LID00138,Tata,Harrier,2011,Kolkata,Petrol,Automatic,First,22320,0.495,158125,0,0,0.347,Standard
LID00139,BMW,X5,2015,Mumbai,Petrol,Automatic,Second,40055,0.497,1614235,0,1,0.6722,Plus
LID00140,Honda,WR-V,2023,Kolkata,Petrol,Manual,First,19204,1.0,1302666,0,0,0.8217,Premium
LID00141,Mahindra,XUV300,2016,Delhi,Petrol,Manual,Second,79244,0.45,607414,0,0,0.4474,Standard
LID00142,Honda,Amaze,2020,Kolkata,Petrol,Manual,First,59532,0.706,629163,0,0,0.5792,Plus
LID00143,BMW,X3,2017,Delhi,Diesel,Automatic,Third,24505,0.507,1918202,0,1,0.6523,Plus
LID00144,Tata,Nexon,2021,Bengaluru,Hybrid,Manual,First,19273,0.828,325020,0,0,0.6016,Plus
LID00145,Ford,EcoSport,2017,Hyderabad,Diesel,Automatic,First,72356,0.506,395921,0,0,0.5431,Standard
LID00146,Toyota,Fortuner,2020,Bengaluru,CNG,Manual,Second,94548,0.563,487857,0,0,0.5438,Plus
LID00147,Hyundai,i20,2015,Kolkata,Electric,Automatic,First,53610,0.509,297418,0,0,0.4794,Standard
LID00148,Hyundai,Verna,2020,Kolkata,Petrol,Manual,Second,36733,0.564,394563,0,0,0.5882,Plus
LID00149,BMW,5 Series,2020,Pune,Petrol,Manual,Second,95311,0.517,3271348,1,1,0.757,Plus
LID00150,Kia,Carens,2018,Bengaluru,Petrol,Manual,First,43721,0.683,879006,0,0,0.5722,Plus
LID00151,Maruti,Vitara Brezza,2019,Delhi,Petrol,Manual,Second,55307,0.662,327756,1,1,0.9133,Standard
LID00152,Mahindra,XUV700,2017,Bengaluru,Diesel,Manual,Second,30854,0.593,600023,0,0,0.5578,Standard
LID00153,Tata,Tigor,2022,Bengaluru,Diesel,Manual,First,60135,0.871,695009,0,0,0.6997,Premium
LID00154,Maruti,WagonR,2017,Ahmedabad,Diesel,Manual,First,44800,0.637,231588,0,0,0.4848,Standard
LID00155,Hyundai,Tucson,2020,Mumbai,Hybrid,Automatic,First,27042,0.678,375240,0,0,0.6488,Plus
LID00156,Hyundai,Verna,2018,Kolkata,Petrol,Manual,First,71213,0.62,207531,1,0,0.6425,Plus
LID00157,Hyundai,Venue,2021,Bengaluru,CNG,Manual,First,70042,0.783,659445,0,1,0.873,Premium
LID00158,Kia,Seltos,2014,Ahmedabad,Diesel,Automatic,Third,21194,0.373,249523,0,1,0.6081,Standard
LID00159,Mahindra,XUV700,2019,Hyderabad,Petrol,Automatic,Second,57099,0.582,439216,0,0,0.5466,Plus
LID00160,Toyota,Fortuner,2021,Hyderabad,Electric,Automatic,First,35447,0.835,1265068,0,1,0.8855,Plus
LID00161,Tata,Tigor,2017,Delhi,Petrol,Automatic,First,26874,0.67,241316,0,0,0.5712,Standard
LID00162,Tata,Harrier,2019,Bengaluru,Diesel,Automatic,First,97699,0.59,494374,1,0,0.6523,Plus
LID00163,BMW,5 Series,2021,Mumbai,CNG,Manual,Second,90880,0.647,4634139,0,1,0.6807,Premium
LID00164,Mahindra,Thar,2022,Pune,Diesel,Manual,Second,215524,0.445,1406778,0,0,0.6068,Plus
LID00165,Hyundai,Verna,2015,Jaipur,CNG,Manual,Second,35303,0.498,280071,0,0,0.5235,Standard
LID00166,Maruti,Ciaz,2020,Bengaluru,Petrol,Automatic,First,61943,0.776,374049,0,0,0.6345,Standard
LID00167,Hyundai,Venue,2019,Bengaluru,Petrol,Manual,Second,17812,0.622,347136,0,0,0.5407,Standard
LID00168,Honda,CR-V,2012,Mumbai,Petrol,Automatic,Third,21867,0.337,157038,0,0,0.3655,Standard
LID00169,Hyundai,Verna,2012,Bengaluru,Petrol,Manual,Third,19935,0.234,180952,1,0,0.3918,Standard
LID00170,Maruti,Baleno,2014,Kolkata,Petrol,Manual,Second,27053,0.497,150909,0,0,0.4304,Standard
LID00171,Mahindra,Bolero,2022,Delhi,Diesel,Manual,First,35584,0.778,978167,0,1,0.8976,Premium
LID00172,Maruti,WagonR,2018,Hyderabad,Electric,Manual,Second,31272,0.629,211674,1,0,0.7374,Standard
LID00173,Maruti,WagonR,2011,Ahmedabad,Electric,Manual,Second,25787,0.304,100000,0,0,0.2935,Standard
LID00174,Tata,Safari,2017,Bengaluru,Petrol,Automatic,Third,178696,0.183,215888,0,0,0.4408,Standard
LID00175,Ford,EcoSport,2018,Chennai,Diesel,Automatic,First,83438,0.478,308793,0,0,0.528,Standard
LID00176,Mahindra,XUV700,2016,Jaipur,CNG,Manual,Second,75159,0.456,554083,0,0,0.3918,Standard
LID00177,Honda,CR-V,2021,Mumbai,Electric,Manual,First,58229,0.758,540124,0,0,0.6434,Plus
LID00178,Kia,Seltos,2015,Mumbai,Hybrid,Automatic,First,56676,0.478,450430,0,0,0.4158,Standard
LID00179,Mahindra,Scorpio,2019,Chennai,Petrol,Manual,Second,22306,0.597,570513,0,0,0.6132,Plus
LID00180,Hyundai,Venue,2015,Bengaluru,Petrol,Manual,First,33926,0.557,160094,0,1,0.735,Standard
LID00181,Maruti,Swift,2019,Delhi,CNG,Manual,First,86658,0.552,279388,1,1,0.8553,Standard
LID00182,Tata,Tigor,2017,Bengaluru,CNG,Automatic,First,15269,0.824,357284,1,1,0.8793,Standard
LID00183,Tata,Nexon,2021,Bengaluru,Diesel,Manual,Second,140020,0.56,416720,0,0,0.6073,Plus
LID00184,Tata,Tiago,2018,Bengaluru,Petrol,Automatic,First,23960,0.71,320697,1,0,0.6471,Standard
LID00185,Hyundai,Tucson,2017,Hyderabad,Petrol,Automatic,First,58388,0.567,248346,0,0,0.499,Standard
LID00186,Tata,Tigor,2021,Delhi,CNG,Manual,Second,11395,0.772,247417,0,0,0.672,Plus
LID00187,Kia,Sonet,2020,Delhi,Electric,Manual,Second,94451,0.6,1184247,0,1,0.7642,Premium
LID00188,Hyundai,i20,2020,Mumbai,Petrol,Manual,Third,37389,0.563,262715,0,0,0.5646,Standard
LID00189,Toyota,Urban Cruiser,2016,Bengaluru,CNG,Manual,First,70564,0.604,399282,0,1,0.7059,Plus
LID00190,Mahindra,XUV700,2011,Hyderabad,Diesel,Automatic,First,117403,0.335,172934,0,0,0.3462,Standard
LID00191,Maruti,Vitara Brezza,2022,Kolkata,Electric,Manual,Third,34308,0.607,547821,0,0,0.601,Standard
LID00192,Maruti,Vitara Brezza,2020,Hyderabad,Petrol,Automatic,First,40438,0.759,474732,0,1,0.8454,Standard
LID00193,Toyota,Fortuner,2019,Kolkata,Petrol,Automatic,First,23276,0.784,896944,1,0,0.7065,Plus
LID00194,Hyundai,Creta,2020,Pune,CNG,Automatic,Second,58496,0.557,278338,0,1,0.7789,Plus
LID00195,Honda,CR-V,2018,Bengaluru,Electric,Automatic,First,65950,0.664,347133,1,1,0.9057,Plus
LID00196,Maruti,Vitara Brezza,2020,Ahmedabad,Petrol,Manual,First,59706,0.766,217866,0,1,0.7941,Standard
LID00197,Toyota,Innova Crysta,2022,Bengaluru,Diesel,Manual,Second,29339,0.75,1611547,0,0,0.6102,Premium
LID00198,Maruti,WagonR,2014,Delhi,Petrol,Manual,First,100506,0.368,106249,0,1,0.6076,Standard
LID00199,BMW,X5,2015,Bengaluru,Petrol,Manual,Second,45589,0.49,1818409,1,1,0.7533,Plus
LID00200,Toyota,Glanza,2017,Delhi,Petrol,Automatic,First,138161,0.424,744199,0,0,0.442,Standard
LID00201,Maruti,Ciaz,2019,Bengaluru,Petrol,Manual,Second,185081,0.405,219000,0,0,0.4583,Standard
LID00202,Tata,Safari,2019,Bengaluru,Petrol,Automatic,First,40789,0.722,406174,0,0,0.5793,Plus
LID00203,Hyundai,Creta,2021,Pune,CNG,Manual,First,12302,0.874,475645,0,0,0.6874,Plus
LID00204,Tata,Tiago,2021,Bengaluru,Petrol,Automatic,First,77952,0.768,659624,0,0,0.609,Premium
LID00205,Ford,Figo,2020,Bengaluru,Electric,Manual,First,58821,0.654,530032,0,1,0.8639,Standard
LID00206,BMW,X1,2018,Hyderabad,Diesel,Automatic,First,59510,0.634,3298350,1,0,0.5949,Plus
LID00207,Maruti,Swift,2022,Jaipur,Petrol,Automatic,First,84586,0.822,373974,1,0,0.7681,Plus
LID00208,Toyota,Glanza,2012,Bengaluru,CNG,Manual,Second,37101,0.348,351319,0,0,0.3423,Plus
LID00209,Tata,Tiago,2016,Kolkata,Diesel,Manual,Second,25808,0.452,230765,1,0,0.5108,Standard
LID00210,Maruti,Swift,2022,Hyderabad,Petrol,Automatic,First,52103,0.759,537837,1,1,0.9397,Plus
LID00211,Mercedes,E-Class,2023,Mumbai,Petrol,Manual,Second,74715,0.735,6162338,1,0,0.7404,Premium
LID00212,Mahindra,Scorpio,2020,Bengaluru,CNG,Manual,Second,58462,0.575,622777,0,0,0.6325,Plus
LID00213,Mahindra,XUV300,2019,Chennai,Electric,Automatic,Third,26649,0.57,1263443,0,0,0.5433,Plus
LID00214,Hyundai,Venue,2012,Bengaluru,Petrol,Manual,First,25763,0.322,100000,0,0,0.3724,Standard
LID00215,Hyundai,i20,2020,Delhi,Petrol,Manual,First,32001,0.78,403755,0,1,0.8426,Plus
LID00216,Hyundai,Venue,2015,Bengaluru,Electric,Automatic,Second,32034,0.47,345499,1,1,0.7307,Standard
LID00217,Tata,Tiago,2014,Hyderabad,Hybrid,Automatic,First,126697,0.366,253717,0,1,0.565,Standard
LID00218,Kia,Sonet,2017,Mumbai,Diesel,Manual,First,35916,0.709,413815,1,0,0.6221,Plus
LID00219,Maruti,Vitara Brezza,2013,Jaipur,Petrol,Automatic,First,105069,0.314,138836,0,1,0.6119,Standard
LID00220,Toyota,Urban Cruiser,2014,Hyderabad,Diesel,Manual,Third,88392,0.276,415748,1,1,0.6591,Standard
LID00221,Hyundai,Venue,2019,Chennai,Petrol,Automatic,First,46329,0.691,378982,0,1,0.7523,Standard
LID00222,Hyundai,Tucson,2021,Chennai,Petrol,Automatic,Second,67022,0.666,397926,0,0,0.5969,Plus
LID00223,Kia,Sonet,2023,Mumbai,Diesel,Manual,First,29226,0.92,1608686,0,1,0.8717,Premium
LID00224,Mercedes,GLE,2016,Bengaluru,Diesel,Manual,Second,57874,0.521,1754284,0,0,0.4589,Plus
LID00225,Honda,Jazz,2013,Pune,Diesel,Automatic,Second,56736,0.344,280217,1,0,0.4727,Standard
LID00226,Toyota,Innova Crysta,2019,Chennai,Petrol,Manual,First,89231,0.6,604048,1,0,0.6505,Plus
LID00227,Maruti,Baleno,2014,Mumbai,CNG,Manual,Third,38513,0.369,100000,0,1,0.5748,Standard
LID00228,Maruti,Vitara Brezza,2016,Kolkata,Petrol,Automatic,Second,90872,0.352,203081,1,0,0.4825,Standard
LID00229,Kia,Seltos,2015,Chennai,Electric,Automatic,Second,57734,0.477,494403,0,0,0.3553,Standard
LID00230,Maruti,Baleno,2017,Kolkata,CNG,Automatic,First,35553,0.644,174108,0,1,0.7823,Standard
LID00231,Tata,Tiago,2023,Delhi,Diesel,Automatic,Second,27965,0.878,576420,0,0,0.8116,Plus
LID00232,Mahindra,XUV300,2019,Mumbai,Petrol,Automatic,Second,42869,0.617,899214,0,0,0.5366,Plus
LID00233,Kia,Sonet,2016,Delhi,Electric,Automatic,First,86697,0.592,725342,1,0,0.67,Plus
LID00234,Hyundai,Verna,2017,Delhi,Petrol,Manual,First,81749,0.522,353881,0,0,0.5102,Standard
LID00235,Honda,Jazz,2011,Bengaluru,Diesel,Manual,Third,35927,0.24,135533,0,1,0.5541,Standard
LID00236,Toyota,Innova Crysta,2014,Mumbai,CNG,Manual,Third,46792,0.358,420934,1,1,0.6042,Standard
